subtitle_filename,year,formal_institutions_incl_military,formal_institutions_incl_military_confidence,formal_institutions_excl_military,formal_institutions_excl_military_confidence,military_institutions,military_institutions_confidence,informal_cultural_norms,informal_cultural_norms_confidence,informal_relationships,informal_relationships_confidence,informal_overall,informal_overall_confidence
2007_Ratatouille.2007.720p.BluRay.DTS.x264-ESiR.ENG,2007,0.5,0.582,0.5,0.582,0.5,0.582,0.547,0.618,0.597,0.655,0.571,0.636
2021_Spider-Man,2021,0.325,0.753,0.241,0.753,0.493,0.673,0.613,0.74,0.721,0.84,0.658,0.813
1988_Beetle.Juice.1988.720p.BluRay.x264-REVEiLLE.ENG,1988,0.468,0.625,0.452,0.625,0.5,0.612,0.574,0.662,0.727,0.825,0.648,0.744
1990_Dick.Tracy.1990.DVDRip.INTERNAL.XviD-VH-PROD,1990,0.422,0.658,0.382,0.658,0.5,0.608,0.442,0.642,0.486,0.658,0.453,0.65
1999_Runaway Bride (1999) [BluRay] [1080p] [YTS.AM].eng,1999,0.5,0.6,0.5,0.6,0.5,0.6,0.689,0.786,0.794,0.893,0.728,0.825
2024_Bad.Boys.Ride.Or.Die,2024,0.329,0.764,0.243,0.764,0.5,0.682,0.528,0.682,0.673,0.8,0.583,0.764
2005_Harry.Potter.and.the.Goblet.of.Fire.2005.720p.HDDVD.DTS.x264-ESiR.ENG,2005,0.5,0.633,0.5,0.633,0.5,0.633,0.559,0.675,0.663,0.75,0.604,0.708
1994_Clear.And.Present.Danger.1994.1080p.HDDVD.x264-hV.ENG,1994,0.321,0.76,0.231,0.75,0.477,0.74,0.467,0.63,0.532,0.69,0.494,0.675
1995_Crimson.Tide.1995.1080p.Bluray.x264-FSiHD.ENG,1995,0.292,0.8,0.192,0.792,0.43,0.823,0.542,0.638,0.626,0.731,0.561,0.715
1985_Back.To.The.Future.1985.720p.BluRay.x264.DTS-WiKi.eng,1985,0.524,0.618,0.512,0.618,0.535,0.618,0.7,0.8,0.792,0.891,0.737,0.836
2010_Alice.In.Wonderland.2010.Bluray.1080p.DTSHD-MA.x264.dxva-FraMeSToR.ENG,2010,0.402,0.671,0.353,0.671,0.484,0.643,0.549,0.671,0.6,0.686,0.55,0.686
2010_timpe-inception,2010,0.409,0.757,0.356,0.75,0.507,0.707,0.625,0.736,0.682,0.786,0.631,0.786
1979_Rocky II,1979,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.75,0.85
2009_Monsters Vs Aliens[2009]DvDrip-aXXo,2009,0.473,0.737,0.433,0.712,0.594,0.787,0.653,0.75,0.714,0.812,0.65,0.8
2024_Wicked,2024,0.389,0.671,0.355,0.671,0.453,0.636,0.557,0.671,0.634,0.721,0.583,0.707
1995_Toy Story,1995,0.5,0.6,0.5,0.6,0.5,0.6,0.685,0.78,0.791,0.89,0.737,0.835
2002_Ice Age.English,2002,0.5,0.6,0.5,0.6,0.5,0.6,0.633,0.72,0.763,0.86,0.697,0.79
1998_Deep Impact (1998),1998,0.348,0.764,0.271,0.764,0.52,0.718,0.595,0.691,0.626,0.773,0.587,0.773
2007_POTC 3 - At Worlds End (2007) 720p BluRay AC3 x264 - AdiT.english,2007,0.291,0.8,0.191,0.8,0.391,0.8,0.6,0.7,0.7,0.8,0.605,0.8
1978_Grease,1978,0.5,0.6,0.5,0.6,0.5,0.6,0.623,0.709,0.736,0.827,0.673,0.764
1991_The.Addams.Family.1991.720p.BluRay.X264-AMIABLE,1991,0.5,0.6,0.5,0.6,0.5,0.6,0.654,0.743,0.774,0.871,0.737,0.829
2014_Big.Hero.6.2014.720p.BluRay.x264-SPARKS,2014,0.468,0.625,0.452,0.625,0.5,0.612,0.7,0.812,0.8,0.9,0.757,0.856
1992_ARG-LETHAL,1992,0.342,0.769,0.246,0.762,0.516,0.692,0.587,0.685,0.693,0.792,0.616,0.785
2016_Captain.America.Civil.War.2016.720p.BluRay.X264-AMIABLE,2016,0.3,0.8,0.2,0.8,0.455,0.742,0.576,0.692,0.677,0.783,0.593,0.775
1993_The.Firm.1993.720p.BluRay.X264-AMIABLE,1993,0.165,0.807,0.086,0.807,0.411,0.633,0.305,0.753,0.38,0.76,0.293,0.76
1987_Platoon 1986 H264 Special Edition DVDRip,1987,0.271,0.778,0.179,0.756,0.363,0.778,0.391,0.711,0.415,0.722,0.369,0.722
2017_Star.Wars.The.Last.Jedi.2017.720p.BluRay.x264-SPARKS,2017,0.3,0.8,0.2,0.8,0.4,0.8,0.579,0.689,0.679,0.789,0.595,0.789
2018_Solo.A.Star.Wars.Story.2018.720p.BluRay.x264.DTS-HDC,2018,0.313,0.783,0.219,0.783,0.406,0.775,0.593,0.692,0.67,0.783,0.589,0.775
1993_Sleepless In Seattle (1993).DVD.NonHI.pcc.en.TRSTR,1993,0.5,0.6,0.5,0.6,0.5,0.6,0.66,0.75,0.777,0.875,0.722,0.817
2003_Bad.Boys.II.2003.720p.BluRay.X264-AMIABLE,2003,0.363,0.731,0.291,0.713,0.499,0.681,0.461,0.675,0.618,0.763,0.539,0.725
2006_Over.The.Hedge[2006]DvDrip.AC3[Eng]-aXXo,2006,0.464,0.629,0.445,0.629,0.5,0.614,0.628,0.714,0.76,0.857,0.694,0.786
1981_Superman.II.The.Richard.Donner.Cut.1980.720p.BluRay.x264.DTS-WiKi.eng,1981,0.237,0.778,0.18,0.778,0.324,0.756,0.548,0.644,0.598,0.7,0.55,0.689
1981_History.Of.The.World.Part.I.1981.1080p.BluRay.x264-CiNEFiLE.ENG,1981,0.444,0.633,0.416,0.633,0.486,0.622,0.458,0.633,0.5,0.622,0.473,0.639
2008_Iron.Man[2008]DvDrip-aXXo.en,2008,0.393,0.683,0.344,0.683,0.452,0.675,0.51,0.608,0.556,0.658,0.531,0.642
1987_Predator.1987.DVDRip.XviD.ShitBusters.ENG,1987,0.381,0.675,0.327,0.65,0.441,0.675,0.5,0.575,0.5,0.625,0.486,0.625
1998_Good.Will.Hunting.1997.BluRay.1080p.DTS.h264.REMUX.dxva-EuReKA.ENG,1998,0.443,0.665,0.402,0.671,0.506,0.641,0.68,0.794,0.778,0.882,0.732,0.847
1994_The.Santa.Clause.1994.DVDRip.XviD.iNTERNAL-iLs,1994,0.5,0.6,0.5,0.6,0.5,0.6,0.686,0.782,0.764,0.855,0.72,0.814
1995_Ace.Ventura.When.Nature.Calls.1995.720p.BluRay.X264-AMIABLE,1995,0.409,0.629,0.409,0.629,0.409,0.629,0.57,0.657,0.665,0.743,0.615,0.7
1988_Crocodile. Dundee. II. 1988. 720p. BluRay. x264-PSYCHD,1988,0.464,0.629,0.445,0.629,0.5,0.614,0.664,0.757,0.774,0.871,0.728,0.836
1997_The.Lost.World.Jurassic.Park.1997.m-HD.AAC.Roboris.eng,1997,0.317,0.778,0.226,0.778,0.476,0.7,0.556,0.689,0.66,0.778,0.58,0.778
2024_Beetlejuice,2024,0.45,0.64,0.425,0.64,0.5,0.62,0.57,0.66,0.659,0.74,0.602,0.71
2025_Snow.White,2025,0.5,0.6,0.487,0.611,0.513,0.611,0.58,0.667,0.649,0.722,0.614,0.694
2016_Batman.v.Superman.Dawn.of.Justice.2016.EXTENDED.720p.BluRay.x264-SPARKS,2016,0.245,0.8,0.164,0.8,0.39,0.782,0.49,0.645,0.601,0.736,0.529,0.714
1992_Under.Siege.1992.1080p.Bluray.x264-Q.ENG,1992,0.15,0.8,0.075,0.8,0.305,0.8,0.446,0.65,0.551,0.688,0.468,0.675
2007_Harry.Potter.and.the.Order.of.the.Phoenix.2007.720p.BluRay.DTS.x264-ESiR.ENG,2007,0.291,0.8,0.191,0.8,0.491,0.7,0.6,0.709,0.7,0.809,0.61,0.809
2021_Shang-Chi. And. The. Legend. Of. The. Ten. Rings. 2021. 1080p. BluRay. x264-VETO,2021,0.335,0.756,0.253,0.756,0.463,0.711,0.691,0.822,0.747,0.844,0.731,0.833
1996_The.Birdcage.1996.720p.BluRay.X264-AMIABLE-HI,1996,0.5,0.6,0.5,0.6,0.5,0.6,0.688,0.785,0.793,0.892,0.745,0.842
2006_Casino.Royale.2006.DVD9.720p.BluRay.DTS.x264-REVEiLLE.ENG,2006,0.3,0.8,0.2,0.8,0.5,0.7,0.4,0.7,0.525,0.8,0.461,0.762
2005_Mr.And.Mrs.Smith.2005.1080p.BluRay.x264-TiMELORDS.ENG,2005,0.334,0.725,0.293,0.725,0.487,0.662,0.445,0.662,0.486,0.725,0.46,0.712
2012_TED 2012 TS XViD - INSPiRAL,2012,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.66,0.75,0.578,0.675
1992_Home Alone 2,1992,0.5,0.6,0.5,0.6,0.5,0.6,0.683,0.778,0.758,0.856,0.714,0.811
1999_The.Mummy.1999.Blu-ray.720p.x264.DTS-CHD.ENG,1999,0.319,0.775,0.229,0.775,0.5,0.688,0.589,0.688,0.7,0.8,0.6,0.787
1988_Good Morning Vietnam,1988,0.3,0.8,0.2,0.8,0.4,0.8,0.6,0.7,0.69,0.794,0.623,0.794
2002_[TLOTR]The.Two.Towers.CD1[2002][Special.Extended.Edition]DvDrip[Eng]-aXXo,2002,0.466,0.671,0.434,0.671,0.5,0.686,0.634,0.757,0.707,0.814,0.655,0.779
2008_Kung.Fu.Panda[2008]DvDrip-aXXo.en,2008,0.5,0.6,0.5,0.6,0.5,0.6,0.57,0.657,0.613,0.686,0.602,0.679
1986_The Color Purple,1986,0.332,0.76,0.247,0.76,0.5,0.6,0.34,0.8,0.345,0.84,0.3,0.82
2008_Horton Hears a Who![2008]DvDrip AC3[Eng]-FXG,2008,0.5,0.6,0.5,0.6,0.5,0.6,0.619,0.675,0.636,0.687,0.627,0.681
2018_The.Grinch.2018.1080p.WEB-DL.X264.DD5.1-SeeHD,2018,0.5,0.589,0.5,0.589,0.5,0.589,0.544,0.611,0.613,0.667,0.576,0.639
2025_Nosferatu,2025,0.289,0.789,0.2,0.789,0.489,0.689,0.463,0.744,0.593,0.8,0.515,0.789
2020_Birds.of.Prey.And.the.Fantabulous.Emancipation.of.One.Harley.Quinn.2020.HC.720p.HDRip.800M,2020,0.315,0.78,0.223,0.77,0.5,0.63,0.551,0.7,0.68,0.8,0.597,0.77
2017_Spider-Man.Homecoming.2017.720p.BluRay.x264-SPARKS,2017,0.42,0.714,0.35,0.714,0.523,0.664,0.584,0.693,0.689,0.786,0.617,0.764
1982_Porkys,1982,0.202,0.783,0.134,0.783,0.5,0.625,0.339,0.75,0.483,0.783,0.382,0.775
2022_Jurassic World,2022,0.362,0.727,0.294,0.727,0.442,0.673,0.551,0.655,0.66,0.755,0.58,0.736
1981_Bustin Loose (1981) - LordSadler,1981,0.355,0.725,0.283,0.725,0.5,0.642,0.593,0.725,0.727,0.842,0.689,0.804
1990_Pretty.Woman.1990.720p.BluRay.x264-AVS720.eng,1990,0.5,0.613,0.492,0.607,0.508,0.607,0.7,0.8,0.794,0.893,0.751,0.85
2023_Spider Man Across the Spider Verse 2023 1080p V3 NEW No Chew Edition HDTS Video X264 Will1869,2023,0.5,0.6,0.5,0.6,0.5,0.6,0.58,0.667,0.7,0.787,0.633,0.723
1991_Sleeping.with.the.Enemy.1991.720p.BluRay.x264-HD4U-eng,1991,0.15,0.8,0.133,0.8,0.5,0.617,0.35,0.8,0.246,0.867,0.263,0.85
1984_Beverly.Hills.Cop.1984.720p.BluRay.x264.DTS-WiKi.eng,1984,0.454,0.65,0.391,0.68,0.543,0.65,0.532,0.65,0.665,0.77,0.587,0.705
2001_The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.Extended.Editions.2001.1080p.BluRay.x264.,2001,0.5,0.6,0.5,0.6,0.5,0.6,0.689,0.786,0.785,0.879,0.719,0.814
2004_The.Passion.Of.The.Christ.2004.DVDRip.AC3.XviD-OS.iLUMiNADOS.ENG,2004,0.2,0.8,0.1,0.8,0.4,0.7,0.655,0.825,0.753,0.85,0.706,0.85
2006_X-Men.The.Last.Stand.PROPER.DVDRip.XviD-DoNEINGLES,2006,0.3,0.8,0.2,0.8,0.4,0.8,0.568,0.683,0.668,0.783,0.617,0.783
1986_Ruthless.People.1986.German.DL.720p.HDTV.DD5.1.x264.eng,1986,0.27,0.8,0.19,0.8,0.5,0.61,0.379,0.71,0.562,0.79,0.459,0.73
1986_Top Gun,1986,0.625,0.8,0.55,0.75,0.753,0.875,0.666,0.762,0.765,0.863,0.754,0.863
1986_Aliens.1986.Special.Edition.720p.BluRay.x264.DTS-WiKi.EN,1986,0.275,0.8,0.183,0.8,0.439,0.767,0.593,0.692,0.709,0.808,0.625,0.8
2024_Mufasa.The.Lion.King,2024,0.522,0.617,0.51,0.608,0.532,0.617,0.687,0.783,0.793,0.892,0.736,0.833
1984_Ghostbusters.1984.SE.DVDRip.XviD-UnSeeN.en,1984,0.427,0.66,0.382,0.67,0.511,0.64,0.62,0.71,0.703,0.78,0.639,0.76
1982_Arthur.1981.DudleyMoore(Huey),1982,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.529,0.622,0.513,0.611
1991_City.Slickers.1991.1080p.X264.BluRay.X264-AMIABLE,1991,0.5,0.6,0.5,0.6,0.5,0.6,0.688,0.785,0.777,0.869,0.732,0.827
1982_The Best Little Whorehouse In Texas - 1982,1982,0.375,0.729,0.309,0.721,0.527,0.636,0.528,0.7,0.654,0.771,0.58,0.743
2012_The.Hobbit.An.Unexpected.Journey.2012.720p.BluRay.x264-SPARKS.eng,2012,0.478,0.617,0.489,0.617,0.468,0.617,0.652,0.742,0.719,0.8,0.684,0.775
1981_the cannonball run eng bluray,1981,0.435,0.645,0.386,0.664,0.52,0.636,0.608,0.7,0.693,0.782,0.64,0.75
2010_How.to.Train.Your.Dragon.(2010).BDRip.AC3.XviD-CaLLiOpeD,2010,0.5,0.6,0.5,0.6,0.5,0.6,0.678,0.771,0.77,0.857,0.724,0.814
2007_The.Simpsons.Movie[2007]DvDrip.AC3[Eng]-aXXo,2007,0.2,0.8,0.125,0.8,0.362,0.725,0.524,0.688,0.643,0.762,0.563,0.75
2020_The Call of the Wild.2020.HDRip.XviD.AC3-EVO,2020,0.5,0.6,0.5,0.6,0.5,0.6,0.562,0.65,0.562,0.65,0.562,0.65
2024_Godzilla.x.Kong.The.New.Empire,2024,0.5,0.6,0.5,0.6,0.5,0.6,0.628,0.714,0.741,0.829,0.65,0.743
1983_Octopussy.1983.DVD5.720p.HDTV.x264-NBS.eng,1983,0.377,0.743,0.298,0.729,0.469,0.729,0.561,0.657,0.639,0.729,0.57,0.729
2007_I.Am.Legend[2007]DvDrip[Eng]-aXXo.en,2007,0.16,0.8,0.1,0.8,0.259,0.78,0.479,0.66,0.503,0.76,0.48,0.7
2003_Elf.2003.BDRE.720p.x264.AC3-SiLUHD.ENG,2003,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6
2008_TheDarkKnight,2008,0.219,0.8,0.144,0.8,0.487,0.675,0.338,0.8,0.456,0.8,0.363,0.8
1994_True.Lies.1994.720p.DTheater.DD5.1.x264-EbP,1994,0.581,0.79,0.491,0.77,0.708,0.84,0.583,0.7,0.672,0.78,0.646,0.785
2005_Wedding.Crashers.2005.UNRATED.1080p.BluRay.x264-CiNEFiLE.ENG,2005,0.403,0.682,0.355,0.682,0.5,0.635,0.467,0.653,0.398,0.694,0.412,0.688
1984_Star Trek 03 Search For Spock 1984 1280x544.eng,1984,0.352,0.771,0.278,0.771,0.485,0.743,0.635,0.729,0.746,0.843,0.652,0.8
1986_Back to School (1986).ENG,1986,0.458,0.642,0.413,0.658,0.528,0.633,0.574,0.683,0.612,0.708,0.593,0.704
2016_Zootopia.2016.720p.BluRay.x264-SPARKS,2016,0.45,0.8,0.349,0.783,0.576,0.692,0.667,0.8,0.753,0.85,0.683,0.8
1983_WarGames.1983.1080p.BluRay.H264.AAC-RARBG.Hi,1983,0.245,0.8,0.164,0.8,0.38,0.791,0.565,0.682,0.668,0.773,0.59,0.764
1982_Poltergeist.1982.1080p.BluRay.x264-iKA.ENG,1982,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.57,0.657,0.532,0.629
1987_Stakeout (ENG),1987,0.464,0.6,0.442,0.609,0.511,0.591,0.476,0.6,0.488,0.6,0.476,0.6
2003_Bruce.Almighty.2003.[1280x694].23.976fps.720p.BRRip.x264-ENG,2003,0.433,0.655,0.4,0.655,0.5,0.627,0.511,0.655,0.61,0.755,0.549,0.709
2014_Maleficent.2014.720p.BluRay.x264-SPARKS,2014,0.425,0.64,0.4,0.64,0.45,0.64,0.57,0.66,0.659,0.74,0.613,0.71
1999_Walt Disney Tarzan(1999) XviD avi DVDrip,1999,0.437,0.633,0.416,0.633,0.458,0.633,0.717,0.8,0.817,0.9,0.792,0.875
2015_American.Sniper.2014.720p.BluRay.x264-SPARKS,2015,0.577,0.8,0.474,0.708,0.734,0.885,0.588,0.692,0.607,0.738,0.595,0.75
1982_Indiana.Jones.And.The.Raiders.Of.The.Lost.Ark.(1981).DVDrip.Xvid-DEiTY,1982,0.5,0.767,0.448,0.767,0.593,0.767,0.685,0.783,0.704,0.8,0.683,0.8
2004_The.Bourne.Supremacy.2004.720p.BluRay.DTS.x264-ESiR,2004,0.3,0.783,0.2,0.783,0.481,0.717,0.55,0.7,0.667,0.8,0.577,0.783
1998_dr,1998,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.546,0.636,0.521,0.618
2004_National.Treasure.2004.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,2004,0.521,0.65,0.487,0.633,0.562,0.642,0.539,0.633,0.59,0.667,0.57,0.658
1978_Heaven.Can.Wait.1978.(El.Cielo.Puede.Esperar).DVDRip.XviD.MP3.Dual.ENG-ESP.English,1978,0.479,0.609,0.469,0.609,0.5,0.6,0.513,0.627,0.673,0.773,0.592,0.695
2011_Rise.of.the.Planet.of.the.Apes.2011.BluRay.1080p.DTS.x264-CHD,2011,0.26,0.8,0.18,0.8,0.417,0.72,0.6,0.7,0.7,0.8,0.62,0.8
2004_H.P.3-Prisoner.Of.Azkaban[2004]DvDrip-aXXo,2004,0.479,0.625,0.468,0.625,0.5,0.608,0.588,0.675,0.69,0.775,0.622,0.721
1989_Dead Poets Society 1989 ENG 25fps SDH utf-8,1989,0.281,0.794,0.193,0.794,0.42,0.706,0.695,0.882,0.749,0.882,0.753,0.882
2002_Signs.2002.720p.BluRay.x264.DTS-HDChina.eng,2002,0.4,0.686,0.35,0.686,0.5,0.643,0.596,0.686,0.731,0.829,0.656,0.779
2015_The.Hunger.Games.Mockingjay.Part.2.2015.720p.BluRay.x264-SPARKS,2015,0.28,0.8,0.18,0.8,0.38,0.8,0.577,0.71,0.69,0.8,0.59,0.8
1982_E.T.The.Extra-Terrestrial.1982.720p.BluRay.X264-AMIABLE,1982,0.5,0.617,0.5,0.617,0.5,0.617,0.7,0.8,0.8,0.9,0.759,0.858
2005_Charlie.and.the.Chocolate.Factory.2005.BluRay.1080p.DTS.x264.dxva-wsp.ENG,2005,0.5,0.6,0.5,0.6,0.5,0.6,0.603,0.689,0.747,0.844,0.681,0.772
1985_The.Goonies.1985.720p.BluRay.DTS.x264-ESiR.ENG,1985,0.474,0.62,0.461,0.62,0.5,0.61,0.669,0.77,0.782,0.88,0.73,0.825
1999_Star Wars Episode I The Phantom Menace eng,1999,0.363,0.745,0.284,0.736,0.511,0.682,0.605,0.7,0.695,0.782,0.616,0.773
2000_Mission.Impossible.II.2000.720p.BluRay.DTS.x264-ESiR.ENG,2000,0.3,0.8,0.2,0.8,0.5,0.7,0.457,0.7,0.629,0.8,0.529,0.786
2015_Cinderella. 2015. 720p. BluRay. x264-SPARKS,2015,0.5,0.59,0.5,0.59,0.5,0.59,0.646,0.71,0.637,0.76,0.622,0.72
2013_Fast.And.Furious.6.2013.1080p.WEB-DL.H264-BLUEBIRD,2013,0.368,0.73,0.293,0.73,0.512,0.68,0.636,0.74,0.743,0.84,0.67,0.815
1986_Ferris.Buellers.Day.Off.1986.1080p.BluRay.x264-CiNEFiLE.ENG,1986,0.397,0.689,0.345,0.689,0.5,0.611,0.642,0.744,0.743,0.844,0.68,0.783
1992_Batman.Returns.1992.1080p.BluRay.x264-CiNEFiLE.ENG,1992,0.225,0.8,0.125,0.8,0.425,0.7,0.324,0.775,0.464,0.763,0.363,0.787
1985_Rambo Acorralado II (1985)1080p-Dual-momos-[.HDG].ENG,1985,0.145,0.825,0.073,0.825,0.371,0.775,0.5,0.7,0.65,0.8,0.552,0.775
1993_The.Fugitive.1993.Blu-ray.Re.x264.1080p.DTS-HDS.ENG,1993,0.289,0.8,0.189,0.8,0.5,0.7,0.533,0.7,0.667,0.8,0.572,0.8
1997_My.Best.Friends.Wedding.1997.BDRip.X264-TLF,1997,0.5,0.6,0.5,0.6,0.5,0.6,0.683,0.778,0.79,0.889,0.719,0.817
1985_Rocky IV,1985,0.3,0.8,0.233,0.8,0.419,0.767,0.612,0.711,0.712,0.811,0.618,0.811
2005_Batman.Begins.2005.1080p.HDDVD.x264-hV.ENG,2005,0.282,0.8,0.2,0.8,0.5,0.691,0.441,0.745,0.609,0.8,0.509,0.8
2007_Shrek.the.Third.(2007).DVDRip.AC3.XviD-UnSeeN,2007,0.468,0.625,0.452,0.625,0.486,0.613,0.689,0.787,0.789,0.888,0.701,0.812
2001_Pearl.Harbor.2001.DVD9.720p.BluRay.x264-hV,2001,0.513,0.775,0.424,0.712,0.652,0.844,0.591,0.687,0.687,0.8,0.646,0.775
2005_Hitch.2005.WS.DVDRiP.XViD-CCTV.en,2005,0.5,0.6,0.5,0.6,0.5,0.6,0.614,0.7,0.736,0.833,0.663,0.758
2016_Deadpool,2016,0.452,0.63,0.429,0.63,0.477,0.62,0.5,0.6,0.5,0.62,0.5,0.615
2004_The.Polar.Express.2004.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,2004,0.5,0.6,0.5,0.6,0.5,0.6,0.645,0.733,0.725,0.8,0.705,0.783
1997_Liar Liar,1997,0.384,0.689,0.332,0.689,0.5,0.6,0.476,0.644,0.588,0.711,0.538,0.678
1997_Men.In.Black.1997.1080p.Blu-ray.AVC.DTS-HD.MA.5.1-CHDBits.english,1997,0.645,0.733,0.572,0.722,0.723,0.778,0.633,0.711,0.703,0.767,0.693,0.756
2024_Despicable.Me,2024,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.589,0.675,0.541,0.637
2006_Superman.Returns.2006.1080p.BluRay.x264-HANGOVER.ENG,2006,0.469,0.637,0.453,0.637,0.516,0.637,0.6,0.688,0.675,0.763,0.621,0.725
2010_despicable.me.dvdrip.xvid-imbt.en,2010,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.645,0.733,0.57,0.667
1980_Kramer.vs.Kramer.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,1980,0.433,0.655,0.4,0.655,0.5,0.618,0.573,0.682,0.614,0.755,0.601,0.727
1996_Mission.Impossible.1996.720p.BluRay.DD.x264-ESiR.ENG,1996,0.386,0.7,0.329,0.7,0.5,0.65,0.446,0.65,0.556,0.683,0.5,0.667
2011_Transformers.Dark.Of.The.Moon.2011.BluRay.720p.DTS.x264-CHD.eng,2011,0.317,0.794,0.216,0.781,0.467,0.763,0.528,0.65,0.599,0.75,0.544,0.738
2008_Indiana.Jones.And.The.Kingdom.Of.The.Crystal.Skull[2008]DvDrip-aXXo.en,2008,0.386,0.7,0.329,0.7,0.5,0.65,0.581,0.675,0.695,0.787,0.618,0.756
2014_X-Men.Days.of.Future.Past.2014.720p.BluRay.X264-AMIABLE,2014,0.267,0.8,0.167,0.8,0.367,0.8,0.556,0.7,0.669,0.789,0.599,0.778
2024_Twisters,2024,0.378,0.708,0.312,0.715,0.508,0.646,0.635,0.738,0.702,0.808,0.643,0.796
1980_SW.Episode.5.The.Empire.Strikes.Back.1980.BluRay.1080p.DTSES6.1.x264-CHD.eng,1980,0.377,0.722,0.328,0.722,0.438,0.722,0.559,0.656,0.7,0.8,0.606,0.756
1986_Out.Of.Africa.1985.REMASTERED.720p.BluRay.DTS.x264-PublicHD,1986,0.475,0.63,0.462,0.63,0.487,0.63,0.691,0.79,0.791,0.89,0.731,0.84
2008_Hancock.720p.BluRay.x264-REFiNED.ENG,2008,0.36,0.744,0.269,0.744,0.523,0.678,0.526,0.689,0.646,0.778,0.588,0.767
1988_Moonstruck.1987.DVDRip.XviD-Shoo.ENG,1988,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.756,0.856
2022_Avatar The Way of Water (2022) 1080p BluRay AVC REMUX DTS-HD,2022,0.217,0.8,0.175,0.8,0.245,0.825,0.67,0.775,0.761,0.85,0.705,0.817
2017_The.Fate.of.the.Furious.2017.720p.BluRay.x264-SPARKS,2017,0.329,0.764,0.243,0.755,0.479,0.7,0.568,0.682,0.703,0.809,0.623,0.773
1986_The. Karate. Kid. Part. II. 1986. 1080p. BluRay. x264-LCHD. ENG,1986,0.5,0.614,0.484,0.614,0.516,0.614,0.7,0.8,0.8,0.886,0.759,0.857
1988_Die.Hard.1988.Bluray.1080p.DTSMA.x264.dxva-FraMeSToR.ENG,1988,0.338,0.79,0.247,0.79,0.511,0.71,0.59,0.71,0.7,0.8,0.605,0.8
2013_Frozen.2013.720p.BluRay.x264-SPARKS,2013,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.784,0.88,0.722,0.82
2009_Avatar.(2009).BDRip.AC3.XviD-D-Z0N3,2009,0.223,0.8,0.168,0.791,0.277,0.8,0.587,0.8,0.72,0.773,0.617,0.809
1977_Oh God  Dvdrip Xvid-OlFa,1977,0.478,0.617,0.468,0.617,0.5,0.608,0.605,0.692,0.626,0.708,0.605,0.7
1998_The.Waterboy.1998.INTERNAL.DVDRip.XViD-BeRRa,1998,0.474,0.62,0.461,0.62,0.5,0.61,0.69,0.8,0.781,0.89,0.737,0.845
1982_An.Officer.and.a.Gentleman.1982.720p.BluRay.X264-AMIABLE,1982,0.3,0.8,0.2,0.764,0.464,0.8,0.491,0.7,0.509,0.791,0.494,0.718
1988_Coming.To.America.1988.1080p.BluRay.x264-Japhson.ENG,1988,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.751,0.85
2021_Eternals.2021.1080p.WEB-DL.DDP5.1.H.264-EVO.v2,2021,0.386,0.7,0.329,0.7,0.454,0.69,0.532,0.65,0.658,0.76,0.578,0.73
2000_What.Lies.Beneath.2000.720p.WEB-DL.DD5.1.H.264-ViGi,2000,0.404,0.657,0.357,0.657,0.5,0.6,0.453,0.643,0.3,0.8,0.355,0.729
1983_Risky.Business.1983.PROPER.1080p.BluRay.x264-TFiN.ENG,1983,0.386,0.7,0.329,0.7,0.5,0.6,0.446,0.65,0.607,0.75,0.525,0.7
2000_How.the.Grinch.Stole.Christmas.2000.REMASTERED.720p.BluRay.X264-AMIABLE,2000,0.5,0.6,0.5,0.6,0.5,0.6,0.694,0.775,0.761,0.838,0.714,0.794
2003_TLOTR.The.Return.of.the.King.2003.Extended.BluRay.1080p.DTSES6.1.x264-CHD.eng,2003,0.346,0.755,0.261,0.745,0.471,0.745,0.643,0.755,0.727,0.818,0.652,0.809
1985_Beverly. Hills. Cop. 1984. 720p. BluRay. x264. DTS-WiKi. eng,1985,0.454,0.65,0.383,0.69,0.553,0.66,0.542,0.66,0.681,0.79,0.595,0.715
2013_Man.Of.Steel.2013.720p.BluRay.x264-Felony,2013,0.32,0.789,0.23,0.789,0.454,0.778,0.58,0.678,0.68,0.778,0.607,0.778
1980_The.Blues.Brothers.1980.EXTENDED.720p.BluRay.X264-AMIABLE,1980,0.452,0.63,0.429,0.63,0.5,0.61,0.503,0.64,0.571,0.68,0.535,0.66
